Time, PC 1, PC 2, NPJ regime
2006-02-13T00:00:00.000000000,-0.3815471735269968,1.1759235440160776,poleward shift
2006-02-14T00:00:00.000000000,-0.1900961686568096,0.1617415820200411,origin
2006-02-15T00:00:00.000000000,-0.8587170213848545,-0.0713419528331788,origin
2006-02-16T00:00:00.000000000,-1.8831957774539585,-0.1289215131942269,retraction
2006-02-17T00:00:00.000000000,-2.742352404076603,0.1882665415914544,retraction
2006-02-18T00:00:00.000000000,-2.942899960076875,0.005840600876599744,retraction
2006-02-19T00:00:00.000000000,-2.782330940897984,-0.5659451665111772,retraction
2006-02-20T00:00:00.000000000,-2.7052758600352242,-1.2073050473195204,retraction
2006-02-21T00:00:00.000000000,-2.8469107134219045,-1.4259799355876333,retraction
2006-02-22T00:00:00.000000000,-3.002385720958342,-1.266924672585099,retraction
2006-02-23T00:00:00.000000000,-2.9396730449169826,-1.3716363024425884,retraction
2006-02-24T00:00:00.000000000,-2.5805516640155473,-1.853957189925944,retraction
2006-02-25T00:00:00.000000000,-2.719117325363851,-2.301855774195537,retraction
2006-02-26T00:00:00.000000000,-3.2589561379088314,-2.4503208074538616,retraction
2006-02-27T00:00:00.000000000,-3.4588713185649205,-1.696642678662052,retraction
2006-02-28T00:00:00.000000000,-2.717770618397546,-1.0093285277852413,retraction
2006-03-01T00:00:00.000000000,-2.6650721364574506,-0.7644935849551893,retraction
2006-03-02T00:00:00.000000000,-3.0561776435722168,-0.2361694477687107,retraction
2006-03-03T00:00:00.000000000,-2.6910459506308007,0.0083194977257298,retraction
2006-03-04T00:00:00.000000000,-1.8297425226176014,0.26012158188158113,retraction
2006-03-05T00:00:00.000000000,-1.3547472719132831,0.6324776024294371,retraction
2006-03-06T00:00:00.000000000,-1.09258259276468,1.0029904224563297,retraction
2006-03-07T00:00:00.000000000,-1.2149980641745002,1.2044280078143028,retraction
2006-03-08T00:00:00.000000000,-1.5928459974721731,1.663471424789352,poleward shift
2006-03-09T00:00:00.000000000,-1.8383025586443362,1.3035567179200371,retraction
2006-03-10T00:00:00.000000000,-1.0951049990860062,0.24344271045855215,retraction
2006-03-11T00:00:00.000000000,-0.1612909293598215,0.32616828912217427,origin
2006-03-12T00:00:00.000000000,-0.2336004823621382,0.539251152261887,origin
2006-03-13T00:00:00.000000000,-0.5830858391913416,0.4870510096993191,origin
2006-03-14T00:00:00.000000000,-0.4123844415948544,0.20635912534847942,origin
2006-03-15T00:00:00.000000000,-0.7880889644740832,0.035348049944880215,origin
2006-03-16T00:00:00.000000000,-0.9635794234092407,-0.42887914406614336,retraction
2006-03-17T00:00:00.000000000,-1.6062033432809606,-0.3765105810281431,retraction
2006-03-18T00:00:00.000000000,-1.985476472470719,-0.0968101983400927,retraction
2006-03-19T00:00:00.000000000,-2.072366567356493,0.08934596953985408,retraction
2006-03-20T00:00:00.000000000,-1.7223182619687143,0.0861659301673925,retraction
2006-03-21T00:00:00.000000000,-1.0640591586819097,-0.4396945150755593,retraction
2006-03-22T00:00:00.000000000,-0.38100646059257476,-0.9565142626327325,equatorward shift
2006-03-23T00:00:00.000000000,-0.34777565570520763,-0.9073473696844214,origin
2006-03-24T00:00:00.000000000,-0.6974611413905266,-0.4816443345906189,origin
2006-03-25T00:00:00.000000000,-0.6239969075727705,-0.1786909543505089,origin
